antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'brother'}),frozenset({'gang'}),0.0308,0.0156,0.002,0.06493506493506493,4.162504162504162,1.0,0.0015195200000000001,1.0527611111111113,0.783904250928601,0.04504504504504505,0.0501168883940115,0.09657009657009658
frozenset({'mother'}),frozenset({'kill'}),0.03,0.0282,0.002,0.06666666666666667,2.3640661938534278,1.0,0.001154,1.0412142857142856,0.5948453608247424,0.03558718861209965,0.03958290457570145,0.06879432624113475
frozenset({'kill'}),frozenset({'mother'}),0.0282,0.03,0.002,0.07092198581560284,2.364066193853428,1.0,0.001154,1.0440458015267176,0.5937435686355218,0.03558718861209965,0.04218761424288953,0.06879432624113475
frozenset({'mother'}),frozenset({'daughter'}),0.03,0.0248,0.0034,0.11333333333333333,4.569892473118279,1.0,0.002656,1.0998496240601503,0.8053365676167374,0.06614785992217899,0.09078479628110472,0.12521505376344086
frozenset({'daughter'}),frozenset({'mother'}),0.0248,0.03,0.0034,0.13709677419354838,4.569892473118279,1.0,0.002656,1.1241121495327102,0.8010423201273947,0.06614785992217899,0.11040904556035916,0.12521505376344086
frozenset({'child'}),frozenset({'mother'}),0.0246,0.03,0.0026,0.1056910569105691,3.5230352303523036,1.0,0.001862,1.0846363636363636,0.7342155486506522,0.05,0.07803201743357639,0.09617886178861788
frozenset({'mother'}),frozenset({'child'}),0.03,0.0246,0.0026,0.08666666666666667,3.5230352303523036,1.0,0.001862,1.067956204379562,0.7383029341792229,0.05,0.06363201421638986,0.09617886178861788
frozenset({'sister'}),frozenset({'mother'}),0.0214,0.03,0.002,0.09345794392523366,3.1152647975077885,1.0,0.001358,1.07,0.6938483547925608,0.04048582995951417,0.06542056074766356,0.08006230529595015
frozenset({'mother'}),frozenset({'sister'}),0.03,0.0214,0.002,0.06666666666666667,3.115264797507788,1.0,0.001358,1.0485,0.7000000000000001,0.04048582995951417,0.04625655698617072,0.08006230529595015
frozenset({'leave'}),frozenset({'mother'}),0.017,0.03,0.0022,0.12941176470588237,4.313725490196079,1.0,0.00169,1.114189189189189,0.781466752982521,0.04910714285714286,0.10248635536688903,0.10137254901960785
frozenset({'mother'}),frozenset({'leave'}),0.03,0.017,0.0022,0.07333333333333333,4.313725490196078,1.0,0.00169,1.0607913669064748,0.7919400187441424,0.04910714285714286,0.057307561885384876,0.10137254901960785
frozenset({'mother'}),frozenset({'marry'}),0.03,0.0158,0.0022,0.07333333333333333,4.641350210970463,1.0,0.001726,1.0620863309352517,0.8088097469540769,0.05045871559633028,0.0584569531937953,0.10628691983122363
frozenset({'marry'}),frozenset({'mother'}),0.0158,0.03,0.0022,0.13924050632911392,4.641350210970464,1.0,0.001726,1.1269117647058822,0.7971402708244814,0.05045871559633028,0.11261907868980817,0.10628691983122363
frozenset({'police'}),frozenset({'kill'}),0.0274,0.0282,0.005,0.18248175182481752,6.470984107263033,1.0,0.00422732,1.188719642857143,0.8692823360065802,0.09881422924901186,0.1587587485334611,0.17989335818191232
frozenset({'kill'}),frozenset({'police'}),0.0282,0.0274,0.005,0.1773049645390071,6.470984107263033,1.0,0.00422732,1.1822120689655173,0.8699979419633668,0.09881422924901186,0.15412807376003196,0.17989335818191232
frozenset({'wife'}),frozenset({'kill'}),0.0274,0.0282,0.0022,0.08029197080291971,2.8472330071957344,1.0,0.0014273200000000002,1.0566396825396827,0.6670592413960705,0.04119850187265918,0.05360359210014376,0.07915307760004142
frozenset({'kill'}),frozenset({'wife'}),0.0282,0.0274,0.0022,0.07801418439716312,2.8472330071957344,1.0,0.0014273200000000002,1.0548969230769232,0.6676083743381542,0.04119850187265918,0.05204008266210479,0.07915307760004142
frozenset({'killer'}),frozenset({'kill'}),0.0168,0.0282,0.0028,0.16666666666666669,5.910165484633571,1.0,0.0023262400000000003,1.16616,0.8449959316517495,0.06635071090047392,0.14248473622830488,0.13297872340425532
frozenset({'kill'}),frozenset({'killer'}),0.0282,0.0168,0.0028,0.09929078014184398,5.910165484633571,1.0,0.0023262400000000003,1.091584251968504,0.8549084173698293,0.06635071090047392,0.08390030527038647,0.13297872340425532
frozenset({'police'}),frozenset({'murder'}),0.0274,0.0198,0.002,0.072992700729927,3.6865000368649996,1.0,0.00145748,1.0573811023622046,0.7492699979436561,0.04424778761061947,0.054267191113983884,0.08700140087001401
frozenset({'murder'}),frozenset({'police'}),0.0198,0.0274,0.002,0.10101010101010101,3.686500036865,1.0,0.00145748,1.0818808988764046,0.7434605182615792,0.04424778761061947,0.0756838381761269,0.08700140087001401
frozenset({'name'}),frozenset({'police'}),0.0188,0.0274,0.002,0.10638297872340426,3.8825904643578193,1.0,0.00148488,1.0883857142857143,0.7566653077863841,0.04524886877828054,0.08120808011865542,0.08968783972666564
frozenset({'police'}),frozenset({'name'}),0.0274,0.0188,0.002,0.072992700729927,3.8825904643578193,1.0,0.00148488,1.058459842519685,0.7633559531153609,0.04524886877828054,0.05523104436396963,0.08968783972666564
frozenset({'police'}),frozenset({'killer'}),0.0274,0.0168,0.002,0.072992700729927,4.344803614876607,1.0,0.00153968,1.0606173228346456,0.7915278634587704,0.04739336492890995,0.057152868927916,0.09602015988877302
frozenset({'killer'}),frozenset({'police'}),0.0168,0.0274,0.002,0.11904761904761905,4.344803614876608,1.0,0.00153968,1.1040324324324324,0.7829943043124492,0.04739336492890995,0.09422950755461552,0.09602015988877302
frozenset({'police'}),frozenset({'marry'}),0.0274,0.0158,0.002,0.072992700729927,4.619791185438418,1.0,0.00156708,1.061696062992126,0.805613818630475,0.04854368932038835,0.05811085219460171,0.09978748960546982
frozenset({'marry'}),frozenset({'police'}),0.0158,0.0274,0.002,0.12658227848101264,4.619791185438418,1.0,0.00156708,1.1135565217391306,0.7961186750660435,0.04854368932038835,0.10197643273803478,0.09978748960546982
frozenset({'daughter'}),frozenset({'wife'}),0.0248,0.0274,0.003,0.12096774193548387,4.414881092535908,1.0,0.00232048,1.1064440366972477,0.7931637954607602,0.06097560975609757,0.09620372397232559,0.1152283965151872
frozenset({'wife'}),frozenset({'daughter'}),0.0274,0.0248,0.003,0.10948905109489052,4.414881092535908,1.0,0.00232048,1.0951016393442623,0.795284118171225,0.06097560975609757,0.08684275132782046,0.1152283965151872
frozenset({'child'}),frozenset({'wife'}),0.0246,0.0274,0.002,0.08130081300813008,2.9671829565010976,1.0,0.0013259600000000002,1.058670796460177,0.6797006356366619,0.04,0.055419301879631996,0.07714675686902854
frozenset({'wife'}),frozenset({'child'}),0.0274,0.0246,0.002,0.072992700729927,2.9671829565010976,1.0,0.0013259600000000002,1.0522031496062993,0.6816574131194737,0.04,0.04961318508296802,0.07714675686902854
frozenset({'husband'}),frozenset({'wife'}),0.0194,0.0274,0.0024,0.12371134020618556,4.5150124162841445,1.0,0.0018684399999999999,1.1099082352941176,0.7939186892378814,0.05405405405405405,0.09902461464752782,0.10565129054104898
frozenset({'wife'}),frozenset({'husband'}),0.0274,0.0194,0.0024,0.0875912408759124,4.5150124162841445,1.0,0.0018684399999999999,1.0747376,0.8004489684008499,0.05405405405405405,0.06954032314492392,0.10565129054104898
frozenset({'wife'}),frozenset({'marry'}),0.0274,0.0158,0.002,0.072992700729927,4.619791185438418,1.0,0.00156708,1.061696062992126,0.805613818630475,0.04854368932038835,0.05811085219460171,0.09978748960546982
frozenset({'marry'}),frozenset({'wife'}),0.0158,0.0274,0.002,0.12658227848101264,4.619791185438418,1.0,0.00156708,1.1135565217391306,0.7961186750660435,0.04854368932038835,0.10197643273803478,0.09978748960546982
frozenset({'student'}),frozenset({'school'}),0.0188,0.0262,0.0044,0.23404255319148937,8.932921877537762,1.0,0.00390744,1.27135,0.9050698587999852,0.10837438423645322,0.2134345380894325,0.20099074224459965
frozenset({'school'}),frozenset({'student'}),0.0262,0.0188,0.0044,0.16793893129770993,8.932921877537762,1.0,0.00390744,1.1792403669724771,0.911947571836666,0.10837438423645322,0.15199646483663873,0.20099074224459965
frozenset({'house'}),frozenset({'daughter'}),0.023,0.0248,0.0022,0.09565217391304348,3.856942496493689,1.0,0.0016296000000000001,1.0783461538461538,0.7581650693216712,0.04824561403508773,0.07265399293790349,0.09218092566619916
frozenset({'daughter'}),frozenset({'house'}),0.0248,0.023,0.0022,0.08870967741935484,3.856942496493689,1.0,0.0016296000000000001,1.0721061946902655,0.7595644716235365,0.04824561403508773,0.06725657873014826,0.09218092566619916
frozenset({'daughter'}),frozenset({'marry'}),0.0248,0.0158,0.0026,0.10483870967741936,6.635361371988567,1.0,0.00220816,1.0994666666666666,0.8708903893481416,0.06842105263157895,0.09046810574824159,0.1346978358513679
frozenset({'marry'}),frozenset({'daughter'}),0.0158,0.0248,0.0026,0.16455696202531644,6.635361371988567,1.0,0.00220816,1.1672848484848484,0.8629265471370735,0.06842105263157895,0.1433110767281752,0.1346978358513679
frozenset({'house'}),frozenset({'home'}),0.023,0.022,0.002,0.08695652173913043,3.9525691699604746,1.0,0.001494,1.071142857142857,0.7645854657113613,0.04651162790697675,0.06641771138970393,0.08893280632411067
frozenset({'home'}),frozenset({'house'}),0.022,0.023,0.002,0.09090909090909091,3.9525691699604746,1.0,0.001494,1.0747,0.7638036809815952,0.04651162790697675,0.06950776961012377,0.08893280632411067
frozenset({'gang'}),frozenset({'fight'}),0.0156,0.0222,0.002,0.12820512820512822,5.775005775005775,1.0,0.00165368,1.1215941176470587,0.8399431125558715,0.0558659217877095,0.10841187175815936,0.10914760914760915
frozenset({'fight'}),frozenset({'gang'}),0.0222,0.0156,0.002,0.09009009009009009,5.775005775005775,1.0,0.00165368,1.0818653465346535,0.8456125997136429,0.0558659217877095,0.07567055068070914,0.10914760914760915
frozenset({'return'}),frozenset({'home'}),0.014,0.022,0.0024,0.1714285714285714,7.792207792207791,1.0,0.0020919999999999997,1.1803448275862067,0.8840432724814062,0.07142857142857142,0.1527899503359626,0.14025974025974025
frozenset({'home'}),frozenset({'return'}),0.022,0.014,0.0024,0.10909090909090909,7.792207792207791,1.0,0.0020919999999999997,1.106734693877551,0.8912747102931151,0.07142857142857142,0.09644108427069888,0.14025974025974025
frozenset({'killer'}),frozenset({'murder'}),0.0168,0.0198,0.003,0.17857142857142858,9.018759018759019,1.0,0.00266736,1.1932869565217392,0.9043124491456469,0.08928571428571429,0.16197860494942723,0.16504329004329005
frozenset({'murder'}),frozenset({'killer'}),0.0198,0.0168,0.003,0.15151515151515152,9.01875901875902,1.0,0.00266736,1.1587714285714286,0.9070801877167926,0.08928571428571429,0.13701703774934043,0.16504329004329005
frozenset({'name'}),frozenset({'marry'}),0.0188,0.0158,0.002,0.10638297872340426,6.7330999192028,1.0,0.0017029599999999999,1.1013666666666666,0.8677945373012637,0.061349693251533735,0.09203716594534064,0.11648262860220845
frozenset({'marry'}),frozenset({'name'}),0.0158,0.0188,0.002,0.12658227848101264,6.733099919202799,1.0,0.0017029599999999999,1.1234028985507245,0.865149359886202,0.061349693251533735,0.10984740978497008,0.11648262860220845
frozenset({'play'}),frozenset({'game'}),0.0142,0.0172,0.002,0.14084507042253522,8.188666885031118,1.0,0.00175576,1.1439147540983607,0.8905254615540678,0.06802721088435375,0.12580898496391454,0.12856207009498855
frozenset({'game'}),frozenset({'play'}),0.0172,0.0142,0.002,0.11627906976744186,8.188666885031116,1.0,0.00175576,1.1155105263157894,0.8932437932437932,0.06802721088435375,0.10354947227372881,0.12856207009498855
