antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'girl'}),frozenset({'school'}),0.0292,0.0234,0.0026,0.08904109589041095,3.80517503805175,1.0,0.0019167199999999998,1.0720571428571428,0.7593737124021426,0.052,0.06721390117797557,0.10007610350076103
frozenset({'school'}),frozenset({'girl'}),0.0234,0.0292,0.0026,0.1111111111111111,3.80517503805175,1.0,0.0019167199999999998,1.09215,0.754863813229572,0.052,0.08437485693357138,0.10007610350076103
frozenset({'father'}),frozenset({'brother'}),0.0286,0.0266,0.0024,0.0839160839160839,3.15473999684526,1.0,0.0016392399999999997,1.0625664122137406,0.7031260723354608,0.04545454545454545,0.05888235454703503,0.08707082391292917
frozenset({'brother'}),frozenset({'father'}),0.0266,0.0286,0.0024,0.09022556390977443,3.15473999684526,1.0,0.0016392399999999997,1.0677371900826447,0.7016813916855009,0.04545454545454545,0.0634399463761318,0.08707082391292917
frozenset({'father'}),frozenset({'mother'}),0.0286,0.0254,0.0032,0.11188811188811189,4.4050437751225155,1.0,0.00247356,1.097384251968504,0.7957458307597282,0.06299212598425197,0.08874216282383736,0.1189361819283079
frozenset({'mother'}),frozenset({'father'}),0.0254,0.0286,0.0032,0.12598425196850394,4.4050437751225155,1.0,0.00247356,1.1114216216216217,0.7931330802380464,0.06299212598425197,0.10025144324532008,0.1189361819283079
frozenset({'father'}),frozenset({'daughter'}),0.0286,0.0188,0.002,0.06993006993006994,3.7196845707484005,1.0,0.00146232,1.0549744360902256,0.7526868437306979,0.04405286343612335,0.05210973290875452,0.0881565243267371
frozenset({'daughter'}),frozenset({'father'}),0.0188,0.0286,0.002,0.10638297872340426,3.7196845707484005,1.0,0.00146232,1.0870428571428572,0.7451691805951896,0.04405286343612335,0.08007306848198914,0.0881565243267371
frozenset({'brother'}),frozenset({'kill'}),0.0266,0.0246,0.0024,0.09022556390977443,3.6677058499908304,1.0,0.0017456399999999997,1.0721338842975208,0.7472262173823709,0.04918032786885246,0.06728066835121431,0.09389326975976525
frozenset({'kill'}),frozenset({'brother'}),0.0246,0.0266,0.0024,0.09756097560975609,3.6677058499908304,1.0,0.0017456399999999997,1.0786324324324323,0.7456940742259585,0.04918032786885246,0.0729001187690118,0.09389326975976525
frozenset({'brother'}),frozenset({'police'}),0.0266,0.0232,0.0022,0.08270676691729324,3.5649468498833294,1.0,0.00158288,1.064872131147541,0.7391523619179259,0.04621848739495799,0.06092011355169251,0.0887671765620949
frozenset({'police'}),frozenset({'brother'}),0.0232,0.0266,0.0022,0.09482758620689656,3.5649468498833294,1.0,0.00158288,1.0753752380952382,0.7365795547613729,0.04621848739495799,0.07009203431980333,0.0887671765620949
frozenset({'mother'}),frozenset({'daughter'}),0.0254,0.0188,0.002,0.07874015748031496,4.188306248952923,1.0,0.00152248,1.0650632478632478,0.7810794171967987,0.04739336492890995,0.06108862360407151,0.09256156810185961
frozenset({'daughter'}),frozenset({'mother'}),0.0188,0.0254,0.002,0.10638297872340426,4.188306248952924,1.0,0.00152248,1.0906238095238097,0.7758255197717082,0.04739336492890995,0.08309355502093604,0.09256156810185961
frozenset({'police'}),frozenset({'kill'}),0.0232,0.0246,0.004,0.1724137931034483,7.008690776562938,1.0,0.0034292800000000003,1.1786083333333335,0.8776822276822277,0.09132420091324203,0.15154171940070563,0.16750770955985422
frozenset({'kill'}),frozenset({'police'}),0.0246,0.0232,0.004,0.16260162601626016,7.008690776562938,1.0,0.0034292800000000003,1.1664699029126213,0.8789419725240927,0.09132420091324203,0.14271255734670368,0.16750770955985422
frozenset({'wife'}),frozenset({'kill'}),0.0218,0.0246,0.0022,0.10091743119266056,4.102334601327665,1.0,0.00166372,1.0848836734693879,0.7730897195219419,0.04977375565610861,0.07824218904312134,0.09517416275080182
frozenset({'kill'}),frozenset({'wife'}),0.0246,0.0218,0.0022,0.08943089430894309,4.102334601327665,1.0,0.00166372,1.0742732142857143,0.775308964154566,0.04977375565610861,0.06913810499789726,0.09517416275080182
frozenset({'killer'}),frozenset({'kill'}),0.0134,0.0246,0.0022,0.16417910447761194,6.673947336488291,1.0,0.0018703600000000002,1.1669964285714287,0.8617105578386747,0.06145251396648045,0.14309934844946887,0.12680499939327752
frozenset({'kill'}),frozenset({'killer'}),0.0246,0.0134,0.0022,0.08943089430894309,6.67394733648829,1.0,0.0018703600000000002,1.0834982142857144,0.8716051223740376,0.06145251396648045,0.0770635458229709,0.12680499939327752
frozenset({'inspector'}),frozenset({'kill'}),0.0082,0.0246,0.0024,0.2926829268292682,11.897679952409277,1.0,0.00219828,1.3790137931034483,0.9235228876789675,0.07894736842105261,0.27484409147966804,0.19512195121951215
frozenset({'kill'}),frozenset({'inspector'}),0.0246,0.0082,0.0024,0.09756097560975609,11.897679952409279,1.0,0.00219828,1.0990216216216215,0.9390506458888661,0.07894736842105261,0.09009979391989927,0.19512195121951215
frozenset({'student'}),frozenset({'school'}),0.0156,0.0234,0.0034,0.21794871794871795,9.314047775586237,1.0,0.0030349599999999997,1.248767213114754,0.9067810789492554,0.09550561797752809,0.19921023750636693,0.18162393162393162
frozenset({'school'}),frozenset({'student'}),0.0234,0.0156,0.0034,0.14529914529914528,9.314047775586236,1.0,0.0030349599999999997,1.151748,0.9140234426762718,0.09550561797752809,0.13175451574476357,0.18162393162393162
frozenset({'police'}),frozenset({'inspector'}),0.0232,0.0082,0.003,0.12931034482758622,15.76955424726661,1.0,0.00280976,1.1390970297029703,0.9588315588315588,0.10563380281690142,0.12211166044322062,0.24758200168208577
frozenset({'inspector'}),frozenset({'police'}),0.0082,0.0232,0.003,0.36585365853658536,15.769554247266612,1.0,0.00280976,1.5403384615384614,0.9443301740942395,0.10563380281690142,0.350792033718863,0.24758200168208577
frozenset({'police'}),frozenset({'officer'}),0.0232,0.0078,0.0034,0.14655172413793105,18.788682581786034,1.0,0.00321904,1.1625777777777777,0.9692633810280868,0.12318840579710144,0.13984249560363943,0.2912245800176835
frozenset({'officer'}),frozenset({'police'}),0.0078,0.0232,0.0034,0.4358974358974359,18.78868258178603,1.0,0.00321904,1.7316,0.9542193817660102,0.12318840579710144,0.4224994224994225,0.2912245800176835
frozenset({'daughter'}),frozenset({'wife'}),0.0188,0.0218,0.0026,0.1382978723404255,6.343939098184657,1.0,0.00219016,1.135195061728395,0.8585092038006837,0.06842105263157895,0.11909412424905491,0.12878196369314854
frozenset({'wife'}),frozenset({'daughter'}),0.0218,0.0188,0.0026,0.11926605504587155,6.343939098184657,1.0,0.00219016,1.1140708333333331,0.8611421291854742,0.06842105263157895,0.1023910059578797,0.12878196369314854
frozenset({'husband'}),frozenset({'wife'}),0.015,0.0218,0.002,0.13333333333333333,6.116207951070336,1.0,0.001673,1.1286923076923077,0.849238578680203,0.0574712643678161,0.11401894636407006,0.11253822629969419
frozenset({'wife'}),frozenset({'husband'}),0.0218,0.015,0.002,0.09174311926605505,6.116207951070337,1.0,0.001673,1.0844949494949494,0.8551420977305254,0.0574712643678161,0.07791179620919295,0.11253822629969419
frozenset({'killer'}),frozenset({'murder'}),0.0134,0.0172,0.0024,0.1791044776119403,10.413051023950016,1.0,0.00216952,1.1972290909090908,0.9162443408338401,0.08510638297872339,0.16473797070811996,0.15931968066643526
