antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'woman'}),frozenset({'girl'}),0.035,0.034,0.0032,0.09142857142857143,2.6890756302521006,1.0,0.0020099999999999996,1.0632075471698113,0.6509067357512952,0.048632218844984795,0.05944986690328305,0.09277310924369747
frozenset({'girl'}),frozenset({'woman'}),0.034,0.035,0.0032,0.09411764705882353,2.6890756302521006,1.0,0.0020099999999999996,1.0652597402597401,0.6502329192546582,0.048632218844984795,0.06126181042365132,0.09277310924369747
frozenset({'woman'}),frozenset({'mother'}),0.035,0.03,0.0026,0.07428571428571427,2.476190476190476,1.0,0.0015499999999999997,1.0478395061728394,0.6177760063770426,0.041666666666666664,0.04565537555228276,0.08047619047619048
frozenset({'mother'}),frozenset({'woman'}),0.03,0.035,0.0026,0.08666666666666667,2.476190476190476,1.0,0.0015499999999999997,1.0565693430656935,0.6145915939730372,0.041666666666666664,0.0535405872193437,0.08047619047619048
frozenset({'woman'}),frozenset({'marry'}),0.035,0.016,0.0022,0.06285714285714286,3.928571428571429,1.0,0.00164,1.05,0.7724917569477155,0.045081967213114756,0.04761904761904762,0.10017857142857144
frozenset({'marry'}),frozenset({'woman'}),0.016,0.035,0.0022,0.1375,3.9285714285714284,1.0,0.00164,1.1188405797101448,0.7575757575757575,0.045081967213114756,0.1062176165803109,0.10017857142857144
frozenset({'woman'}),frozenset({'relationship'}),0.035,0.0142,0.0022,0.06285714285714286,4.426559356136821,1.0,0.001703,1.0519207317073171,0.8021667451719267,0.04680851063829787,0.04935802683824595,0.10889336016096579
frozenset({'relationship'}),frozenset({'woman'}),0.0142,0.035,0.0022,0.15492957746478872,4.42655935613682,1.0,0.001703,1.1419166666666667,0.7852413360630037,0.04680851063829787,0.12427935488579142,0.10889336016096579
frozenset({'mother'}),frozenset({'girl'}),0.03,0.034,0.0024,0.08,2.3529411764705883,1.0,0.0013799999999999997,1.0499999999999998,0.5927835051546391,0.03896103896103895,0.047619047619047616,0.07529411764705882
frozenset({'girl'}),frozenset({'mother'}),0.034,0.03,0.0024,0.07058823529411763,2.352941176470588,1.0,0.0013799999999999997,1.0436708860759494,0.5952380952380952,0.03896103896103895,0.04184354154032746,0.07529411764705882
frozenset({'girl'}),frozenset({'school'}),0.034,0.026,0.003,0.08823529411764705,3.3936651583710407,1.0,0.002116,1.068258064516129,0.7301587301587301,0.052631578947368425,0.06389660587027418,0.10180995475113122
frozenset({'school'}),frozenset({'girl'}),0.026,0.034,0.003,0.11538461538461539,3.3936651583710407,1.0,0.002116,1.092,0.7241615331964407,0.052631578947368425,0.08424908424908426,0.10180995475113122
frozenset({'girl'}),frozenset({'try'}),0.034,0.0204,0.0022,0.06470588235294118,3.171856978085352,1.0,0.0015064000000000002,1.0473710691823899,0.7088274044795784,0.0421455938697318,0.045228544664088585,0.08627450980392157
