antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'beautiful', 'name'})",frozenset({'woman'}),0.0034,0.1026,0.0026,0.7647058823529412,7.453273707143677,1.0,0.00225116,3.813950000000001,0.8687846369965575,0.02514506769825919,0.7378046382359497,0.39502350647861484
"frozenset({'beautiful', 'soon'})",frozenset({'woman'}),0.0036,0.1026,0.002,0.5555555555555556,5.414771496642842,1.0,0.00163064,2.0191500000000002,0.8182657567242072,0.019193857965451058,0.5047420944456826,0.2875243664717349
"frozenset({'beautiful', 'marry'})",frozenset({'woman'}),0.0036,0.1026,0.002,0.5555555555555556,5.414771496642842,1.0,0.00163064,2.0191500000000002,0.8182657567242072,0.019193857965451058,0.5047420944456826,0.2875243664717349
"frozenset({'job', 'father'})",frozenset({'mother'}),0.0038,0.069,0.002,0.5263157894736842,7.627765064836002,1.0,0.0017378,1.9654444444444443,0.8722144147761494,0.02824858757062147,0.4912092260727005,0.2776506483600305
"frozenset({'woman', 'killer'})",frozenset({'murder'}),0.0052,0.055,0.0026,0.5,9.090909090909092,1.0,0.002314,1.89,0.8946521913952554,0.04513888888888888,0.47089947089947093,0.2736363636363636
"frozenset({'set', 'killer'})",frozenset({'kill'}),0.0044,0.0786,0.0022,0.5,6.361323155216285,1.0,0.00185416,1.8428,0.8465247087183607,0.027227722772277224,0.4573475146516171,0.2639949109414758
"frozenset({'fight', 'son'})",frozenset({'father'}),0.0054,0.076,0.0026,0.48148148148148145,6.3352826510721245,1.0,0.0021896,1.7819999999999998,0.8467261674581199,0.03299492385786802,0.43883277216610544,0.2578460038986355
"frozenset({'call', 'meet'})",frozenset({'girl'}),0.005,0.0766,0.0024,0.4799999999999999,6.266318537859007,1.0,0.0020169999999999997,1.7757692307692308,0.8446398659966499,0.030303030303030297,0.43686376434914437,0.2556657963446475
"frozenset({'fall', 'soon'})",frozenset({'meet'}),0.0042,0.077,0.002,0.4761904761904762,6.184291898577613,1.0,0.0016766,1.7620909090909094,0.8418357099819241,0.025252525252525256,0.4324923902388691,0.2510822510822511
"frozenset({'death', 'home'})",frozenset({'return'}),0.0052,0.0516,0.0024,0.4615384615384615,8.944543828264758,1.0,0.00213168,1.7613142857142854,0.8928427824688381,0.044117647058823525,0.4322421568309379,0.25402504472271914
"frozenset({'daughter', 'home'})",frozenset({'father'}),0.0048,0.076,0.0022,0.4583333333333334,6.030701754385967,1.0,0.0018352000000000002,1.7058461538461545,0.8382052031569718,0.027989821882951654,0.41378066378066386,0.24364035087719302
"frozenset({'set', 'police'})",frozenset({'kill'}),0.0044,0.0786,0.002,0.45454545454545453,5.783021050196623,1.0,0.00165416,1.6892333333333334,0.8307352350341501,0.024691358024691357,0.4080154705290368,0.23999537358315984
"frozenset({'father', 'fight'})",frozenset({'son'}),0.0058,0.067,0.0026,0.4482758620689655,6.690684508492023,1.0,0.0022113999999999997,1.6910625000000001,0.8555003636476177,0.037037037037037035,0.4086558007170048,0.24354091610910963
"frozenset({'father', 'die'})",frozenset({'mother'}),0.0058,0.069,0.0026,0.4482758620689655,6.4967516241879055,1.0,0.0021998,1.6874375000000001,0.8510127973012706,0.03601108033240997,0.4073854587206933,0.24297851074462767
"frozenset({'death', 'return'})",frozenset({'home'}),0.0054,0.0722,0.0024,0.44444444444444436,6.155740227762387,1.0,0.00201012,1.6700399999999997,0.8420973255580132,0.031914893617021274,0.401211947019233,0.23884272083718064
"frozenset({'brother', 'police'})",frozenset({'kill'}),0.0068,0.0786,0.003,0.44117647058823534,5.612932195779075,1.0,0.00246552,1.648821052631579,0.8274667740636328,0.03640776699029126,0.3935060457871015,0.23967220475976653
"frozenset({'police', 'killer'})",frozenset({'murder'}),0.0064,0.055,0.0028,0.4375,7.954545454545454,1.0,0.002448,1.68,0.8799171842650103,0.0477815699658703,0.40476190476190477,0.24420454545454545
"frozenset({'people', 'fall'})",frozenset({'meet'}),0.0046,0.077,0.002,0.4347826086956522,5.646527385657821,1.0,0.0016458,1.6330000000000002,0.8267028330319469,0.025125628140703515,0.387630128597673,0.2303783173348391
"frozenset({'death', 'police'})",frozenset({'kill'}),0.0084,0.0786,0.0036,0.4285714285714286,5.452562704471101,1.0,0.00293976,1.6124500000000002,0.8235175473981444,0.043165467625899276,0.37982573103041956,0.23718647764449294
"frozenset({'name', 'police'})",frozenset({'kill'}),0.008,0.0786,0.0034,0.425,5.407124681933841,1.0,0.0027711999999999997,1.6024347826086958,0.8216318785578748,0.04086538461538461,0.37594964184935964,0.23412849872773536
"frozenset({'mother', 'decide'})",frozenset({'father'}),0.0066,0.076,0.0028,0.42424242424242425,5.58213716108453,1.0,0.0022984,1.604842105263158,0.8263107940981909,0.03508771929824561,0.37688574052210416,0.23054226475279108
"frozenset({'father', 'return'})",frozenset({'home'}),0.0052,0.0722,0.0022,0.42307692307692313,5.8597911783507355,1.0,0.0018245600000000002,1.6081866666666667,0.8336805936323428,0.02925531914893617,0.3781816372892037,0.22677391860217347
"frozenset({'husband', 'home'})",frozenset({'wife'}),0.0052,0.069,0.0022,0.42307692307692313,6.13154960981048,1.0,0.0018412,1.6137333333333335,0.8412837664948642,0.030555555555555555,0.38031892919110966,0.22748049052396882
"frozenset({'brother', 'son'})",frozenset({'father'}),0.0062,0.076,0.0026,0.41935483870967744,5.517826825127335,1.0,0.0021288,1.5913333333333337,0.8238772698422528,0.032663316582914576,0.3715961457896942,0.22678268251273345
"frozenset({'house', 'father'})",frozenset({'mother'}),0.0048,0.069,0.002,0.4166666666666667,6.038647342995169,1.0,0.0016688,1.5960000000000003,0.8384244372990355,0.027855153203342618,0.37343358395989973,0.22282608695652176
"frozenset({'son', 'return'})",frozenset({'home'}),0.0048,0.0722,0.002,0.4166666666666667,5.77100646352724,1.0,0.00165344,1.5905142857142858,0.8307073954983923,0.02666666666666667,0.3712725443701948,0.22218374884579872
"frozenset({'police', 'killer'})",frozenset({'kill'}),0.0064,0.0786,0.0026,0.40624999999999994,5.168575063613231,1.0,0.0020969599999999997,1.5518315789473685,0.8117180725876377,0.03155339805825243,0.35560017364879526,0.21966444020356232
"frozenset({'name', 'kill'})",frozenset({'police'}),0.0084,0.0604,0.0034,0.40476190476190477,6.701356039104383,1.0,0.0028926399999999997,1.578528,0.8579835322592126,0.05198776758409786,0.3664984086440025,0.2305266477451908
"frozenset({'girl', 'marry'})",frozenset({'wife'}),0.005,0.069,0.002,0.4,5.797101449275362,1.0,0.001655,1.5516666666666667,0.8316582914572864,0.027777777777777776,0.35553168635875404,0.21449275362318843
"frozenset({'daughter', 'relationship'})",frozenset({'mother'}),0.005,0.069,0.002,0.4,5.797101449275362,1.0,0.001655,1.5516666666666667,0.8316582914572864,0.027777777777777776,0.35553168635875404,0.21449275362318843
"frozenset({'mother', 'marry'})",frozenset({'son'}),0.0056,0.067,0.0022,0.3928571428571429,5.863539445628998,1.0,0.0018248000000000001,1.5367058823529414,0.8341256490894464,0.03125,0.34925738784259686,0.21284648187633265
"frozenset({'wife', 'soon'})",frozenset({'father'}),0.0052,0.076,0.002,0.38461538461538464,5.060728744939271,1.0,0.0016048,1.5015,0.8065942903096098,0.025252525252525256,0.333999333999334,0.20546558704453444
"frozenset({'mother', 'soon'})",frozenset({'father'}),0.0052,0.076,0.002,0.38461538461538464,5.060728744939271,1.0,0.0016048,1.5015,0.8065942903096098,0.025252525252525256,0.333999333999334,0.20546558704453444
"frozenset({'mother', 'die'})",frozenset({'father'}),0.0068,0.076,0.0026,0.3823529411764706,5.030959752321982,1.0,0.0020832,1.496,0.8067164410297717,0.032418952618453865,0.3315508021390374,0.20828173374613004
"frozenset({'mother', 'home'})",frozenset({'father'}),0.0068,0.076,0.0026,0.3823529411764706,5.030959752321982,1.0,0.0020832,1.496,0.8067164410297717,0.032418952618453865,0.3315508021390374,0.20828173374613004
"frozenset({'school', 'father'})",frozenset({'mother'}),0.0058,0.069,0.0022,0.37931034482758624,5.497251374312843,1.0,0.0017998,1.4999444444444447,0.8228635174923649,0.0303030303030303,0.33330864106078006,0.20559720139930038
"frozenset({'father', 'decide'})",frozenset({'mother'}),0.0074,0.069,0.0028,0.37837837837837834,5.483744614179396,1.0,0.0022894,1.4976956521739129,0.8237385222071902,0.03804347826086956,0.3323076029842946,0.20947904426165292
"frozenset({'father', 'sister'})",frozenset({'mother'}),0.0064,0.069,0.0024,0.37499999999999994,5.4347826086956506,1.0,0.0019584,1.4896,0.821256038647343,0.03287671232876711,0.32867883995703534,0.20489130434782604
"frozenset({'husband', 'child'})",frozenset({'mother'}),0.0064,0.069,0.0024,0.37499999999999994,5.4347826086956506,1.0,0.0019584,1.4896,0.821256038647343,0.03287671232876711,0.32867883995703534,0.20489130434782604
"frozenset({'mother', 'relationship'})",frozenset({'daughter'}),0.0054,0.0618,0.002,0.37037037037037035,5.993048064245475,1.0,0.00166628,1.4900823529411764,0.8376633822642269,0.030674846625766874,0.3288961526011195,0.20136641495864796
"frozenset({'daughter', 'girl'})",frozenset({'mother'}),0.0066,0.069,0.0024,0.3636363636363636,5.270092226613965,1.0,0.0019445999999999999,1.4629999999999999,0.8156331789812764,0.032786885245901634,0.3164730006835269,0.19920948616600787
"frozenset({'husband', 'mother'})",frozenset({'child'}),0.0066,0.0548,0.0024,0.3636363636363636,6.635700066357,1.0,0.0020383199999999997,1.4853142857142856,0.8549426213005838,0.04067796610169491,0.3267418151040664,0.2037159920371599
"frozenset({'woman', 'father'})",frozenset({'mother'}),0.01,0.069,0.0036,0.36,5.217391304347825,1.0,0.00291,1.4546875000000001,0.8164983164983165,0.04774535809018568,0.31256713211600423,0.2060869565217391
"frozenset({'help', 'father'})",frozenset({'mother'}),0.0078,0.069,0.0028,0.358974358974359,5.202526941657376,1.0,0.0022618,1.4523600000000003,0.8141359748898551,0.03783783783783783,0.3114654768790107,0.19977703455964324
"frozenset({'wife', 'girl'})",frozenset({'marry'}),0.0056,0.036,0.002,0.35714285714285715,9.920634920634921,1.0,0.0017984000000000001,1.4995555555555558,0.9042638777152053,0.05050505050505051,0.3331357439241257,0.20634920634920637
"frozenset({'brother', 'kill'})",frozenset({'police'}),0.0084,0.0604,0.003,0.35714285714285715,5.912961210974456,1.0,0.00249264,1.4616000000000002,0.8379185155304558,0.04559270516717325,0.3158182813355227,0.20340586565752128
"frozenset({'help', 'murder'})",frozenset({'police'}),0.0062,0.0604,0.0022,0.3548387096774194,5.8748130741294595,1.0,0.0018255200000000002,1.45638,0.8349585612616405,0.03416149068322981,0.3133660171109189,0.19563127536851102
"frozenset({'woman', 'son'})",frozenset({'mother'}),0.0086,0.069,0.003,0.3488372093023256,5.055611729019211,1.0,0.0024066,1.42975,0.8091587653822877,0.040214477211796246,0.30057702395523694,0.19615773508594542
